"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","gene_symbol"
"ENSG00000108702.4",1.14206198119224,1.7132258724715,0.747996002066544,2.29042116233007,0.0219969139247797,0.0521069717628677,"ENSG00000108702","CCL1"
"ENSG00000241101.1",1.94266548554751,-1.16818281616473,0.510108163614151,-2.29006885106107,0.0220173257141812,0.0521520740871454,"ENSG00000241101",NA
"ENSG00000253395.1",18.1711888141666,0.952480142059063,0.415928134759085,2.29001133239222,0.0220206597262619,0.0521567214637911,"ENSG00000253395",NA
"ENSG00000125650.4",215.623295931941,0.333411720686985,0.145618706760939,2.28962149234262,0.0220432679924245,0.0522070171784946,"ENSG00000125650","PSPN"
"ENSG00000236347.1",1.88555006211609,3.01998459499292,1.31907327048937,2.28947448375822,0.0220517988051783,0.0522239678282365,"ENSG00000236347",NA
"ENSG00000177169.10",3717.15719444217,0.352531509032587,0.153983768736136,2.2894069415633,0.0220557191976623,0.0522299984612926,"ENSG00000177169","ULK1"
"ENSG00000240436.1",0.963835032310544,-1.24129213587185,0.542276805435297,-2.28903785563065,0.0220771529860401,0.0522746201102752,"ENSG00000240436","RPL35AP14"
"ENSG00000282692.1",2.17919447045303,-1.44975700051479,0.633348519493712,-2.28903511399017,0.0220773122680644,0.0522746201102752,"ENSG00000282692",NA
"ENSG00000260274.1",62.8155870262326,-0.390303331318652,0.17052085982757,-2.28888906444247,0.0220857988036613,0.0522914574938456,"ENSG00000260274",NA
"ENSG00000147869.5",1.5207707422223,-1.39747162163842,0.610570731840459,-2.28879562802821,0.0220912296237377,0.0523010583637286,"ENSG00000147869","CER1"
"ENSG00000255182.2",41.4010553550255,0.76836317722194,0.335728821188691,2.2886422872527,0.0221001447922522,0.0523189067304438,"ENSG00000255182",NA
"ENSG00000128923.11",2425.11662063686,-0.397757447765304,0.173799865485147,-2.28859468133073,0.0221029132171489,0.0523222022510688,"ENSG00000128923","MINDY2"
"ENSG00000234900.1",0.624479209052521,-1.57498192136476,0.688212763402842,-2.28851018917074,0.0221078274284502,0.0523305765686509,"ENSG00000234900",NA
"ENSG00000133316.15",848.58208517026,0.403777647127207,0.176441872374873,2.28844571695165,0.0221115778843149,0.0523361953348006,"ENSG00000133316","WDR74"
"ENSG00000205084.11",498.353139200447,-0.383705030887879,0.16768312447783,-2.28827457791442,0.0221215360100998,0.0523565055051639,"ENSG00000205084","TMEM231"
"ENSG00000140320.12",1750.37484871126,0.30828218128043,0.134730562272151,2.28813846006009,0.0221294591311507,0.0523719970659711,"ENSG00000140320","BAHD1"
"ENSG00000171703.17",1552.35965187167,0.417562875372541,0.182500907946759,2.28800437252814,0.0221372664847422,0.0523872127376415,"ENSG00000171703","TCEA2"
"ENSG00000154277.13",966.525252168302,-0.910032201639194,0.397777585007995,-2.28779155975041,0.0221496625971134,0.0524132850064903,"ENSG00000154277","UCHL1"
"ENSG00000181499.2",2.24755168634462,1.53713983839658,0.671977135299433,2.28748830525555,0.0221673372717447,0.0524518440424109,"ENSG00000181499","OR6T1"
"ENSG00000241316.8",191.877594316271,-0.497512322628877,0.217514394336246,-2.28726160467244,0.0221805581424341,0.0524798604459221,"ENSG00000241316","SUCLG2-DT"
"ENSG00000124399.4",1.10447780089181,1.32409122599596,0.578939942437928,2.28709599897389,0.0221902203762887,0.0524994540455946,"ENSG00000124399","NDUFB4P12"
"ENSG00000279771.1",0.780142299058827,1.61116369282733,0.704467177709834,2.28706708247941,0.0221919078791444,0.0525001791042176,"ENSG00000279771",NA
"ENSG00000158636.16",2130.66830979454,0.551143781671087,0.241035744523096,2.28656452079985,0.0222212541011054,0.0525630623267702,"ENSG00000158636","EMSY"
"ENSG00000242575.1",0.552202079308195,2.00288145363689,0.875926441907458,2.28658635909577,0.0222199781904688,0.0525630623267702,"ENSG00000242575","TUBAP13"
"ENSG00000285885.1",0.618135006198696,-2.04616545557451,0.894944690927651,-2.28635967822052,0.0222332252077514,0.0525881070353827,"ENSG00000285885",NA
"ENSG00000166863.13",2.14092974702169,1.49631453210827,0.654488050107887,2.28623659646897,0.0222404208661573,0.0526018539928433,"ENSG00000166863","TAC3"
"ENSG00000269373.1",4.06684527676288,1.13282454767086,0.495512808523398,2.28616602474235,0.0222445475742754,0.0526083411743238,"ENSG00000269373",NA
"ENSG00000255027.2",0.939483839580651,-1.36413349909747,0.596725364507517,-2.28603236972053,0.0222523649264221,0.0526235553765435,"ENSG00000255027",NA
"ENSG00000140015.20",3.6384325416899,-1.64428100849126,0.719298186791117,-2.2859518328923,0.0222570766005132,0.0526314236730846,"ENSG00000140015","KCNH5"
"ENSG00000175893.12",1799.32559055991,0.437507039336243,0.191409816600136,2.28570847152639,0.0222713193270309,0.0526618277176762,"ENSG00000175893","ZDHHC21"
"ENSG00000100410.8",1380.49337703674,0.330367875509663,0.144548202557355,2.28552046766944,0.022282327680381,0.0526758238134214,"ENSG00000100410","PHF5A"
"ENSG00000157343.9",20.9795722513327,0.603856423066271,0.264208780677533,2.28552745869289,0.0222819182442205,0.0526758238134214,"ENSG00000157343","ARMC12"
"ENSG00000188800.6",1.71303080863659,1.44929192275505,0.634108184175856,2.28555940283072,0.0222800474876258,0.0526758238134214,"ENSG00000188800","TMCO2"
"ENSG00000233191.2",6.99621322121916,1.27195559852988,0.556529650434776,2.28551272611655,0.0222827810796693,0.0526758238134214,"ENSG00000233191",NA
"ENSG00000235821.1",4.95816938464232,-0.875059089663096,0.382879789453388,-2.28546691093923,0.0222854644999669,0.0526788914914962,"ENSG00000235821","IFITM4P"
"ENSG00000211803.2",7.31146837029031,1.15040882340537,0.503412599939531,2.28522055972288,0.0222998982452887,0.0527040732270954,"ENSG00000211803","TRAV23DV6"
"ENSG00000227888.4",7.89783209717096,-0.873885251497456,0.382408480016214,-2.28521410262765,0.022300276676518,0.0527040732270954,"ENSG00000227888","FAM86B2-DT"
"ENSG00000236616.3",4.26681800755061,1.34108693890804,0.586846257179252,2.28524408650767,0.0222985194573442,0.0527040732270954,"ENSG00000236616",NA
"ENSG00000108379.10",370.233210238623,0.683192888583663,0.298965454174098,2.28519007478976,0.0223016849259907,0.0527041248577358,"ENSG00000108379","WNT3"
"ENSG00000211594.2",8.18223626518926,1.32905531108441,0.581670606548968,2.28489336769078,0.0223190810301529,0.0527419571928428,"ENSG00000211594","IGKJ4"
"ENSG00000136872.20",21.1803095791076,-0.908126592113263,0.397485851624706,-2.28467651968324,0.0223318024123869,0.0527654589288885,"ENSG00000136872","ALDOB"
"ENSG00000154198.14",728.7135853951,1.44715153664969,0.633415027590601,2.28468140731424,0.0223315156102177,0.0527654589288885,"ENSG00000154198",NA
"ENSG00000114013.16",711.324339652898,0.519502457574823,0.227416394143134,2.28436678688983,0.0223499838114342,0.052805135773255,"ENSG00000114013","CD86"
"ENSG00000122254.7",147.251957601347,-0.814968866811487,0.35677932767249,-2.28423791290844,0.0223575525398444,0.0528197352434395,"ENSG00000122254","HS3ST2"
"ENSG00000166997.8",835.436510365268,0.341038237659459,0.149313078960984,2.28404798851261,0.0223687108019594,0.0528428126483026,"ENSG00000166997","CNPY4"
"ENSG00000188981.11",14.2301088902709,0.594393709016219,0.260256534488283,2.28387621538463,0.0223788068270776,0.0528633779613095,"ENSG00000188981","MSANTD1"
"ENSG00000114796.16",4203.32697664069,-0.370421527596417,0.162213756739041,-2.2835395409301,0.0223986064775384,0.0529068612677783,"ENSG00000114796","KLHL24"
"ENSG00000147488.11",12.9822341473646,0.73744547989213,0.322946393211994,2.28349192123673,0.0224014081961048,0.0529101915237604,"ENSG00000147488","ST18"
